id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.38893,2.12443,Private room,,7,1,2016-06-09,0.01,1,0,0,
223096,"2BR Apartment, loft style with patio",874133,Barbara,Sants-Montjuïc,Sants,41.37364,2.13906,Entire home/apt,,30,61,2023-10-02,0.37,1,0,0,Exempt
242335,BARCELONETA A · Barceloneta Beach Apartment SEASON,297885449,ByMonths,Ciutat Vella,la Barceloneta,41.38113,2.18897,Entire home/apt,,60,5,2022-07-31,0.03,18,0,0,Monthly rental only
253030,Double room with private bath and parking,1008598,Dana,Sant Andreu,Navas,41.41508,2.18857,Private room,,3,2,2023-05-31,0.08,1,0,0,
274156,Comfy Duplex close to Las Ramblas for 6 people!,1447144,Acomodis Apartments,Sants-Montjuïc,el Poble Sec,41.37314,2.16789,Entire home/apt,,3,2,2022-10-03,0.01,355,365,0,HUTB-000219
323854,Casa Sagrada Familia Bcn Doubleroom,1657312,Alberto,Eixample,la Sagrada Família,41.40843,2.17494,Private room,,1,21,2014-07-29,0.13,1,0,0,
345129,Charming apartment by  Barcelona sailing harbour,1238225,Lucia,Ciutat Vella,el Barri Gòtic,41.38512,2.17129,Private room,,31,32,2013-10-15,0.2,1,0,0,
360863,SPECIAL OFFER @ COSY AND CHARMING,1824328,Umberto,Ciutat Vella,la Barceloneta,41.38428,2.19576,Private room,,31,32,2015-10-21,0.2,2,0,0,
363601,stylish flat in barcelona center,1837053,Ayal,Ciutat Vella,el Raval,41.37961,2.17306,Entire home/apt,,32,25,2018-08-23,0.17,1,0,0,
480975,Cozy loft with a big terrace!,2272146,Javi,Sants-Montjuïc,el Poble Sec,41.37227,2.16574,Private room,,1,0,,,1,0,0,
536440,"Suite, bathroom & workspace Near Sagrada Familia!",2635405,Montserrat,Horta-Guinardó,el Baix Guinardó,41.40987,2.17203,Private room,,31,44,2023-12-17,0.3,1,0,0,HUTB-010944
546165,Private suite & bathroom in Poblenou,2685251,Leila,Sant Martí,el Poblenou,41.39856,2.19701,Private room,,32,87,2025-05-07,0.55,1,47,5,
559801,COMFORTABLE AND VERY SPACIOUS LARGE,2751629,Andrea,Sant Andreu,Navas,41.4177,2.18694,Private room,,180,32,2020-01-01,0.22,1,0,0,
560063,Estupendo apartamento en el Born,2753392,Maria Janet,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3851,2.18164,Entire home/apt,,32,45,2015-09-01,0.29,1,0,0,
740113,"Sunny, authentic Sant Antoni Apartment",3193594,Jan,Eixample,Sant Antoni,41.37785,2.16238,Entire home/apt,,4,5,2024-06-16,0.1,10,0,0,HUTB-004435
759351,ático con terraza privada plaza España,4002679,Lamarsó,Sants-Montjuïc,Hostafrancs,41.3742,2.1456,Entire home/apt,,2,437,2025-06-02,2.92,1,2,46,HUTB-004280
849035,Atic with Terrace in CENTER,1432736,Inaki,Eixample,la Dreta de l'Eixample,41.39178,2.17826,Entire home/apt,,3,0,,,1,0,0,HUTB-006760
857958,Amazing old Library in the heart of Gothic UNIQUE,4488448,Vicky,Ciutat Vella,el Barri Gòtic,41.38444,2.17191,Private room,,32,88,2025-05-05,0.65,1,0,8,Exempt
569610,Pl España  / Sants Station / Perfect Remote Work,2700806,Andres,Sants-Montjuïc,Sants,41.37518,2.14026,Entire home/apt,,3,53,2024-10-24,0.34,1,12,2,HUTB-009546
578180,Nice room with private bathroom,2843953,July,Sant Martí,el Clot,41.40562,2.18658,Private room,,7,10,2014-08-08,0.06,1,0,0,
594235,Sunny apartment in Gracia,2934588,Aleix Y Alba,Gràcia,la Vila de Gràcia,41.40427,2.15159,Entire home/apt,,7,138,2021-02-28,0.88,1,0,0,HUTB-007671
597768,Sunny penthouse flat with terrace!,463043,Mary,Sants-Montjuïc,el Poble Sec,41.37481,2.16522,Entire home/apt,,30,2,2022-05-02,0.01,1,69,0,
648112,New room  Barcelona city center,3250864,Salas Y Oscar,Eixample,la Nova Esquerra de l'Eixample,41.38107,2.14446,Private room,,2,4,2017-06-17,0.03,1,0,0,
663732,Modern room for nice week-end,3348358,Pier,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38697,2.17781,Private room,,32,450,2023-06-10,2.92,1,0,0,Exempt
667248,Room for two with private bathroom,1646166,Carolina,Eixample,la Dreta de l'Eixample,41.39031,2.17563,Private room,,7,78,2014-10-25,0.5,1,0,0,
670956,Habitación en la playa de Barcelona,3400078,Núria,Sant Martí,el Poblenou,41.39944,2.20678,Private room,,2,88,2018-08-31,0.67,1,0,0,
675175,FURNISED   ROOM   FOR  RENT,3429484,Pamela,Nou Barris,la Prosperitat,41.44273,2.17985,Private room,,90,0,,,2,267,0,
677012,HABITACION INDIVIDUAL  BARCELONA,3441858,Jose,Gràcia,Vallcarca i els Penitents,41.40853,2.1493,Private room,,14,30,2019-02-07,0.24,1,0,0,
688295,Nice and calm room,3109259,Milian,Nou Barris,el Turó de la Peira,41.43212,2.17242,Private room,,1,36,2020-02-23,0.42,1,0,0,
696301,Fantastic rooms in center of Bcn!,3565553,José Luis,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38902,2.17789,Private room,,1,51,2020-03-14,0.33,1,0,0,
703941,Sagrada Familia Apartment Eixample 22,3615168,Eduardo,Eixample,la Dreta de l'Eixample,41.39739,2.17108,Entire home/apt,,3,82,2025-03-14,1.62,13,0,11,HUTB012618
703973,Sagrada Familia Apartment Eixample 43,3615168,Eduardo,Eixample,la Dreta de l'Eixample,41.39755,2.16887,Entire home/apt,,3,82,2024-11-17,1.7,13,0,3,HUTB005378
703978,Sagrada Familia Apartment Eixample 33,3615168,Eduardo,Eixample,la Dreta de l'Eixample,41.39874,2.16951,Entire home/apt,,3,20,2025-03-06,0.42,13,0,2,HUTB001298
703984,Sagrada Familia Apartment Eixample 42,3615168,Eduardo,Eixample,la Dreta de l'Eixample,41.39862,2.16903,Entire home/apt,,3,55,2024-05-15,1.16,13,0,0,HUTB007687
725009,Walk to Plaça de Catalunya from an Art-Filled Apartment,1935498,Nadia & Taras,Eixample,Sant Antoni,41.37621,2.16393,Entire home/apt,,3,246,2025-06-15,1.64,2,182,11,HUTB004773
737759,Room and private bathroom center Bc,3853819,Vanessa,Eixample,la Dreta de l'Eixample,41.39536,2.17174,Private room,,60,1,2019-01-03,0.01,1,0,0,
1078049,"Eixample, Valeri Standard",14580203,Brummell,Eixample,l'Antiga Esquerra de l'Eixample,41.38438,2.16047,Hotel room,,2,133,2025-06-20,0.9,6,250,46,HB-005762
1136384,Aribau Apartment Top renovated,42109537,José Manuel,Eixample,l'Antiga Esquerra de l'Eixample,41.38954,2.15831,Entire home/apt,,4,375,2025-06-12,2.72,2,106,41,HUTB-004672
1139810,2 CLEAN & SUNNY ROOMS for 3 guests _DOWNTOWN,6251533,Aliona,Ciutat Vella,el Raval,41.37874,2.16672,Private room,,31,149,2022-09-10,1.03,2,0,0,
954380,Living room + bedroom + sleeping al,5182848,Bata De,Ciutat Vella,el Raval,41.38176,2.16496,Private room,,1,81,2017-03-04,0.55,1,0,0,
1000720,Double room,5501549,Toni,Horta-Guinardó,el Guinardó,41.41851,2.1737,Private room,,32,5,2022-10-12,0.04,2,364,0,
1401163,Nice Duplex apartment in Gracia,3376710,Ramon,Gràcia,la Vila de Gràcia,41.40061,2.16032,Entire home/apt,,3,30,2024-05-13,0.34,33,192,0,HUTB-005875
1407575,Room next to tube L4,7592043,Mercedes,Sant Martí,el Besòs i el Maresme,41.41357,2.2164,Private room,,5,56,2020-01-14,0.68,1,0,0,Exempt
1435370,Room with ensuite - House with garden Parc Güell,7712303,Raynald,Gràcia,Vallcarca i els Penitents,41.41471,2.14458,Private room,,3,32,2019-09-03,0.22,1,0,0,Exempt
1458113,Double Bedroom ✌(๑˃̶͈̀◡˂̶͈́๑)✌ Private Bathroom,3093079,More,Ciutat Vella,el Raval,41.3766,2.16806,Private room,,31,63,2019-10-16,0.46,1,81,0,
1459831,Big room in spacious apartment.,7823519,Patrick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40341,2.16475,Private room,,1,1,2015-06-02,0.01,1,0,0,
1474088,Love room near Gaudí building in Sagrada Familia,7890427,Marcel,Eixample,la Sagrada Família,41.40777,2.17934,Private room,,2,4,2017-09-29,0.03,1,0,0,
1474989,"SGL room BEST location, for student",7812285,Olga,Eixample,la Nova Esquerra de l'Eixample,41.38669,2.1515,Private room,,45,38,2023-09-11,0.26,1,0,0,
1505365,Charming 3 Bdr-2 Bthr in Gracia,8028055,Pere & Carme,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4031,2.16448,Entire home/apt,,4,402,2025-06-12,2.79,1,123,36,HUTB-007272
1506324,Sunny*Attractive*Modern*Apartment,8046825,Luis,Horta-Guinardó,el Baix Guinardó,41.4088,2.16706,Entire home/apt,,31,0,,,1,364,0,
1587109,Big apartment near FIRA BCN - MAGIC FOUNTAIN,8457288,Marta I Abel Francesc,Sants-Montjuïc,la Marina de Port,41.36507,2.13674,Entire home/apt,,2,378,2025-06-01,2.79,1,1,34,HUTB-012571
1327003,Beach and down town at two steps. (HUTB-005567),663209,Walter,Sants-Montjuïc,el Poble Sec,41.3739,2.16347,Entire home/apt,,2,7,2015-09-23,0.06,1,0,0,
1331475,Double room and private bathroom,3340010,Ben,Eixample,el Fort Pienc,41.39876,2.18057,Private room,,3,172,2017-08-01,1.2,1,0,0,
1365897,"For couples, families and groups. Barcelona center",39916788,Yannick,Eixample,la Nova Esquerra de l'Eixample,41.386449,2.152463,Entire home/apt,,1,73,2025-05-20,0.51,1,28,27,ESFCTU00000806000016710500000000000000HUTB-005842-248
1978145,Centric (Eixample) Modernist flat,7496141,Aav,Eixample,la Dreta de l'Eixample,41.39675,2.16695,Private room,,1,0,,,2,0,0,
2029502,Romantic view over the port,4989233,Liina And Kash,Ciutat Vella,la Barceloneta,41.38099,2.18431,Private room,,4,3,2014-10-12,0.02,1,0,0,
2120231,"Poblesec, cozy room with one double bed",10582310,Mirabela,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3868,2.17683,Private room,,3,3,2024-09-19,0.31,1,0,3,
2186401,Apartment in a good location in BCN,9141076,Alicia,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40631,2.16225,Entire home/apt,,5,217,2025-05-20,1.58,2,32,20,HUTB005878
2219606,Habitación interior Plaza Sagrada Familia (MES),10884463,Maria Esther,Eixample,la Sagrada Família,41.40296,2.17306,Private room,,3,34,2025-06-22,0.46,2,0,12,
2255946,Private Room Near Parc Guell,6184920,Rick,Gràcia,la Salut,41.41207,2.15325,Private room,,180,1,2019-07-11,0.01,1,0,0,
2306489,"Fabulous apartment, city center :)",10044989,Vincent,Sants-Montjuïc,el Poble Sec,41.37314,2.16053,Entire home/apt,,5,296,2024-04-01,2.14,20,0,0,HUTB-005347
2307398,habitacion duble,11784592,Solange Regina,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38467,2.18622,Private room,,2,2,2019-10-06,0.02,2,0,0,
2313602,"Simple no frills&central, single room",11497589,Julia,Eixample,Sant Antoni,41.37768,2.16399,Private room,,3,228,2022-04-11,1.68,1,0,0,
1727835,Walk to Ramblas & Gotico in 5 min.,4955385,Anna,Eixample,Sant Antoni,41.38259,2.1621,Private room,,2,191,2020-02-29,1.34,1,0,0,
1735838,Habitación linda en  ático de Gracia,4396451,Pilar,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40969,2.1608,Private room,,60,0,,,1,0,0,
1819306,Single room / nice & sunny flat,9526689,Angelo,Eixample,el Fort Pienc,41.39517,2.18172,Private room,,1,0,,,1,0,0,
1821184,Nice room in Barcelona (Gracia),1688452,Sofia,Gràcia,la Salut,41.41123,2.15635,Private room,,1,28,2018-08-27,0.21,1,0,0,
1823712,6 bed Private Room (City center),9456665,Hip Karma,Eixample,la Dreta de l'Eixample,41.39001,2.17592,Private room,,1,24,2025-06-02,0.2,7,98,7,AJ116959
1823916,8 bed Private Room (City center),9456665,Hip Karma,Eixample,la Dreta de l'Eixample,41.38945,2.1763,Private room,,1,53,2025-05-11,0.4,7,326,13,AJ000511
1823987,12 bed Private Room (City center),9456665,Hip Karma,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38995,2.17772,Private room,,1,34,2025-05-11,0.25,7,327,7,AJ051185
1903974,Habitación en Barcelona,8587915,Humberto,Eixample,la Nova Esquerra de l'Eixample,41.38003,2.15302,Private room,,30,72,2025-06-17,0.55,1,215,15,Exempt
1911214,Centrik by SYW. Lovely & cozy flat in Eixample,9916442,Stayourway Bcn,Eixample,la Dreta de l'Eixample,41.3954,2.16424,Entire home/apt,,2,438,2025-06-13,3.19,8,1,45,HUTB-010235
2830712,Stylish flat in Rambla Catalunya,14162823,Eike,Eixample,la Dreta de l'Eixample,41.39419,2.16156,Entire home/apt,,1,517,2025-04-19,3.84,6,0,32,HUTB-009884
2868278,"piso bonito, muy centrico",11101773,Marina,Sants-Montjuïc,el Poble Sec,41.37226,2.1664,Private room,,2,2,2019-05-16,0.02,1,0,0,
2933557,Rincón de paz en Rambla Catalunya,14978951,Sandra,Eixample,la Dreta de l'Eixample,41.39378,2.15834,Private room,,2,0,,,1,0,0,
2976117,PENTHOUSE CHARMING TERRACE EL BORN,15179923,Giovanni,Eixample,el Fort Pienc,41.39519,2.18103,Entire home/apt,,1,223,2020-02-23,1.65,1,0,0,HUTB-009403
2987956,Habitación luminosa. Balcón modernista . Céntrica,14458726,Montse,Eixample,el Fort Pienc,41.39961,2.17451,Private room,,32,681,2025-06-04,5.03,1,272,64,No se solicita
3292332,Single room near the beach,16633161,Mcarmen,Sant Martí,el Parc i la Llacuna del Poblenou,41.40053,2.19454,Private room,,3,2,2015-09-07,0.02,1,0,0,
2401795,"Atico, soleado con terraza, Sants.",3803356,Víctor,Sants-Montjuïc,Sants - Badal,41.37391,2.13032,Private room,,31,36,2025-03-31,0.26,2,25,2,
2443008,Piso en Taulat muy cerca de playa,11994044,Paola,Sant Martí,el Poblenou,41.39481,2.20087,Entire home/apt,,31,2,2015-06-22,0.02,3,0,0,0215518-N
